datetime,id_ticker,open,close,high,low,average,volume,business,amount_stock,date,SMA_3,EMA_3,SMA_5,EMA_5,SMA_7,EMA_7,SMA_9,EMA_9,SMA_11,EMA_11,std_close3,std_open3,std_close5,std_open5,std_close7,std_open7,std_close9,std_open9,std_close11,std_open11,AD_Line,ADXR,Bollinger_Norm,trend
2024-01-02 16:40:00,58413,133690,133715,133755,133675,133712.3,17877335.0,30,133,2024-01-02,0.44347720819952585,0.455736925585757,0.4569335477500406,0.4634425550694941,0.48006995963182597,0.4771698198812383,0.4977614195103607,0.4910050167288101,0.5140244442215146,0.5042452413799575,0.022134012239245267,0.01388265556144316,0.04389512773186327,0.032526920938836315,0.06326012168780248,0.06214822720536688,0.07303989589535846,0.07504793327134687,0.0763365845704828,0.06646432393987674,18847587.671652883,0.38769,-0.24178470643962005,0
2024-01-02 16:35:00,58413,133730,133685,133760,133680,133719.63,17437039.5,30,130,2024-01-02,0.437641001837788,0.44759656316899754,0.4472057585330414,0.4547200781322513,0.46998378819252296,0.46780441645067516,0.48756650004054486,0.48104621594380326,0.5032953054815389,0.4937628848454661,0.019187118108879728,0.01602370824328822,0.02487552438749941,0.021746839023031355,0.05637779604942291,0.045580247923355716,0.07111981302804853,0.06272682417071924,0.07011361693037736,0.06548189253669663,3590178.109152884,0.38981,0.39770672420536385,1
2024-01-02 16:30:00,58413,133805,133730,133845,133705,133765.94,16225808.0,30,121,2024-01-02,0.44431058075995206,0.45377267373748703,0.4508685756712275,0.45952662628305724,0.4720769528937709,0.4717477964090572,0.48931689304666165,0.48436890805547483,0.5063428992404706,0.49660462039239445,0.0159682174612256,0.04494893223025742,0.023563784902564444,0.0480833859780342,0.03982584149488014,0.04694339843444748,0.05642726862915035,0.05920095689616346,0.06924311546832829,0.061819402948695,-6840698.4622756895,0.38130699999999995,0.15359257812601085,1
2024-01-02 16:25:00,58413,133845,133815,133850,133815,133837.28,16368299.5,30,122,2024-01-02,0.4428508702320159,0.45461812492618625,0.44910037332062624,0.45796173551252317,0.46646502794594347,0.4685569530831729,0.4829283651206781,0.4799543014692605,0.499488404368302,0.49121661870626654,0.04599287989664394,0.04493380696330344,0.04588695447116519,0.06057492032017213,0.04535867076692259,0.06455157066073938,0.05413666122215798,0.06105932251105009,0.06511284770219411,0.05775747417870004,-23208997.96227569,0.375803,0.6830999864838081,1
2024-01-02 16:20:00,58413,133760,133830,133855,133760,133822.01,16767897.5,30,125,2024-01-02,0.43826838983322575,0.4480006768484517,0.442664652043695,0.4504222389794021,0.4569626736430283,0.459858001032847,0.4713034116620786,0.4701760370179217,0.4869339629421584,0.48048676054781153,0.03754711976357815,0.03270888135868896,0.049813062322743754,0.05431738215110447,0.05980862997530011,0.06141595073411628,0.05409866861868524,0.057909368368787316,0.05791267077090453,0.053722941098536904,-15266309.672802009,0.36807,1.2870807087647005,0
2024-01-02 16:15:00,58413,133780,133760,133820,133760,133796.34,17473801.5,30,130,2024-01-02,0.43764404619634045,0.44373435597239874,0.4419083570212974,0.4477797748605832,0.4568689584435883,0.4574854548045732,0.4687217039517146,0.46765413203808937,0.4839557666118651,0.47767584648790024,0.025657188618015338,0.03417917839420135,0.04653807101876742,0.03900611520113842,0.05403757421493604,0.05311709983460131,0.05129532073523056,0.059136814784910924,0.05350655010833524,0.04879739278293761,-32740111.17280201,0.35834200000000005,1.3715304058509667,1
2024-01-02 16:10:00,58413,133640,133790,133800,133640,133745.11,17480485.5,30,130,2024-01-02,0.44535048560202006,0.45343759952126045,0.45339335476055265,0.4577108164030441,0.46865224603570793,0.46748938751481367,0.47912778169808634,0.47758925339796465,0.49320897009465486,0.48747009338957553,0.024460901946602186,0.05826513225082425,0.030752369790458006,0.06884749663433251,0.04506235342660728,0.06576518290510959,0.05408824578538716,0.06485324567589662,0.049644824026478164,0.05364017455549119,-17444686.36030201,0.355679,0.4916299187776384,0
2024-01-02 16:05:00,58413,133760,133640,133765,133580,133655.19,17762775.0,30,132,2024-01-02,0.4336855549774652,0.44037150032466826,0.44733368610359414,0.44787203502615774,0.46323411329545733,0.4590569220453433,0.4747209822754166,0.46977877131857904,0.487059164186187,0.4799094921357249,0.05527203629322983,0.058252067343374056,0.05952996345456942,0.06605087283276861,0.059607871453265925,0.06082955589868086,0.0571403919086846,0.06001612108278217,0.05394100820483847,0.05362678539014757,-23685661.36030201,0.36155099999999996,0.862479723790371,1
2024-01-02 16:00:00,58413,133835,133760,133870,133735,133787.01,18114760.5,30,135,2024-01-02,0.4524438943807643,0.46264884915238985,0.46489586200593347,0.4686171429655209,0.4846394203945699,0.4796414604917764,0.4967747781741703,0.49044763042870065,0.5083143070056435,0.500680554174189,0.055334074645854756,0.07575658545589828,0.055607166029891124,0.06354765393717393,0.05397368605252138,0.06462790708122308,0.05151802545777335,0.06368640452491357,0.05462725461057192,0.05772497244494823,-35091251.30474645,0.366483,-0.7004779464412516,1
2024-01-02 15:50:00,58413,133975,133945,133980,133925,133947.18,16716607.5,30,124,2024-01-02,0.4438921668698157,0.4606508454147912,0.45263581478492865,0.4618488858858576,0.4727405104345315,0.47031863362983145,0.48384027639712207,0.47937386835853735,0.4951749801191243,0.48824514365501726,0.10702010273974064,0.08397122031002836,0.08690552821120304,0.1086337128801277,0.08010595299253685,0.0967371867088096,0.07638874899583584,0.08774481866845808,0.07481846168116559,0.07948197667437505,-39650326.07747372,0.356308,0.28406503484103895,1
