@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real[-0.01,1.01]
@attribute SMA_3 real[-0.01,1.01]
@attribute ADXR real[-0.01,1.01]
@attribute Bollinger_Norm real[-0.01,1.01]
@attribute EMA_5 real[-0.01,1.01]
@attribute SMA_5 real[-0.01,1.01]
@attribute std_close3 real[-0.01,1.01]
@attribute std_open3 real[-0.01,1.01]
@attribute trend{0,1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.43802, 0.43541, 0.29975, 0.47944, 0.44495, 0.43961, 0.08082, 0.0874, 0
0.44766, 0.44346, 0.30315, 0.47418, 0.45855, 0.45812, 0.10588, 0.07439, 0
0.45631, 0.44594, 0.31593, 0.47102, 0.46785, 0.46941, 0.052, 0.06929, 1
0.46412, 0.44821, 0.32139, 0.47064, 0.47147, 0.46577, 0.06196, 0.17487, 1
0.62777, 0.61053, 0.31691, 0.43591, 0.63987, 0.63472, 0.17362, 0.13334, 1
0.45211, 0.42933, 0.3219, 0.47668, 0.45643, 0.44863, 0.17684, 0.23671, 1
0.47286, 0.45527, 0.31995, 0.47799, 0.46651, 0.44615, 0.19802, 0.23122, 1
0.44062, 0.42755, 0.31154, 0.48444, 0.42981, 0.40547, 0.19992, 0.13394, 0
0.43299, 0.43305, 0.32074, 0.48469, 0.42527, 0.41549, 0.03983, 0.05869, 0
0.42791, 0.43223, 0.32225, 0.48295, 0.42983, 0.43285, 0.14273, 0.15155, 0
0.45101, 0.44893, 0.32012, 0.47634, 0.45955, 0.47199, 0.15127, 0.13848, 1
0.46071, 0.44771, 0.31633, 0.47243, 0.47008, 0.4777, 0.04169, 0.07389, 0
0.43233, 0.42609, 0.30584, 0.47508, 0.44781, 0.45271, 0.12285, 0.1181, 0
0.44414, 0.44302, 0.29806, 0.47279, 0.46631, 0.46871, 0.21045, 0.28073, 0
0.45227, 0.44446, 0.29465, 0.47185, 0.47827, 0.48179, 0.16862, 0.21892, 1
0.47843, 0.45884, 0.28962, 0.46962, 0.49781, 0.49353, 0.08546, 0.048, 1
0.47727, 0.44959, 0.27798, 0.47356, 0.4828, 0.46141, 0.22801, 0.24599, 0
0.42893, 0.41851, 0.2675, 0.48283, 0.43179, 0.40914, 0.15106, 0.20749, 0
0.44026, 0.44159, 0.26186, 0.48237, 0.44542, 0.42979, 0.08205, 0.12571, 0
0.45127, 0.44507, 0.25951, 0.47974, 0.4577, 0.45383, 0.04985, 0.01091, 0
0.44766, 0.43914, 0.2665, 0.47877, 0.45569, 0.4588, 0.03234, 0.04365, 0
0.45246, 0.44344, 0.26614, 0.47446, 0.46094, 0.45892, 0.03106, 0.04079, 0
0.45235, 0.4418, 0.26742, 0.47281, 0.4604, 0.45533, 0.00593, 0.00655, 0
0.44568, 0.4375, 0.25452, 0.47499, 0.45493, 0.45049, 0.03558, 0.03931, 0
0.45305, 0.44446, 0.25198, 0.47081, 0.46236, 0.45707, 0.03773, 0.04169, 1
0.44504, 0.43647, 0.25196, 0.47667, 0.45378, 0.44862, 0.02953, 0.02152, 0
0.45021, 0.44282, 0.24226, 0.47246, 0.45968, 0.45421, 0.04525, 0.0322, 0
0.45311, 0.44303, 0.23203, 0.47104, 0.46212, 0.45707, 0.01782, 0.0179, 1
0.46086, 0.44713, 0.22195, 0.47038, 0.46609, 0.45819, 0.0574, 0.05096, 0
0.44647, 0.43524, 0.22505, 0.4838, 0.45019, 0.44055, 0.05734, 0.05247, 1
0.44872, 0.44139, 0.22596, 0.48276, 0.45217, 0.44316, 0.00198, 0.01575, 0
0.44418, 0.4377, 0.22452, 0.48414, 0.44944, 0.44428, 0.0307, 0.02462, 1
0.51307, 0.48403, 0.22945, 0.47541, 0.49941, 0.47993, 0.36704, 0.39911, 0
0.41895, 0.40047, 0.23404, 0.48681, 0.40138, 0.38177, 0.37246, 0.3963, 1
0.43871, 0.44383, 0.23889, 0.484, 0.42364, 0.40791, 0.01289, 0.01424, 0
0.43452, 0.43467, 0.24072, 0.48315, 0.42622, 0.42273, 0.04632, 0.07036, 1
0.4828, 0.46747, 0.26027, 0.47908, 0.46879, 0.47197, 0.18243, 0.14313, 0
0.40883, 0.40363, 0.27048, 0.48508, 0.40354, 0.4078, 0.18468, 0.14888, 1
0.45548, 0.45808, 0.28005, 0.47601, 0.45568, 0.4585, 0.16015, 0.11041, 1
0.4457, 0.43143, 0.30996, 0.48248, 0.441, 0.43965, 0.12783, 0.05632, 1
0.4527, 0.44423, 0.3216, 0.48165, 0.44667, 0.43473, 0.0645, 0.0498, 0
0.43531, 0.43063, 0.33336, 0.48445, 0.43316, 0.42749, 0.05091, 0.04321, 1
0.44378, 0.43429, 0.36725, 0.48271, 0.44402, 0.44335, 0.04089, 0.05857, 0
0.44987, 0.44301, 0.384, 0.47989, 0.45185, 0.4511, 0.02064, 0.03773, 0
0.4473, 0.43936, 0.38731, 0.47874, 0.45137, 0.44888, 0.02064, 0.01983, 0
0.44976, 0.44179, 0.38482, 0.47385, 0.45549, 0.45454, 0.029, 0.02625, 1
0.45473, 0.44423, 0.37896, 0.47065, 0.46013, 0.45639, 0.0148, 0.03757, 0
0.43725, 0.43124, 0.37535, 0.47836, 0.44655, 0.44519, 0.07376, 0.07446, 0
0.45316, 0.44728, 0.36886, 0.4708, 0.46453, 0.46293, 0.09315, 0.06287, 0
0.45488, 0.44322, 0.36575, 0.47091, 0.46596, 0.4633, 0.02264, 0.01084, 0
0.45198, 0.44078, 0.35777, 0.4726, 0.46226, 0.458, 0.00708, 0.02665, 1
0.46898, 0.45278, 0.3564, 0.4719, 0.47269, 0.45961, 0.10321, 0.12217, 0
0.41878, 0.41458, 0.36097, 0.48575, 0.42787, 0.42169, 0.13416, 0.17812, 1
0.48269, 0.47254, 0.35774, 0.46992, 0.48594, 0.47529, 0.15132, 0.19814, 0
0.43091, 0.41804, 0.35695, 0.48587, 0.4354, 0.42956, 0.13071, 0.16373, 0
0.42875, 0.43346, 0.35249, 0.47941, 0.44187, 0.44518, 0.19395, 0.20405, 1
0.46645, 0.45872, 0.35395, 0.47024, 0.48051, 0.47903, 0.13804, 0.14609, 1
0.46246, 0.44383, 0.35059, 0.47224, 0.47259, 0.47222, 0.06097, 0.05975, 0
0.44639, 0.43467, 0.34174, 0.47678, 0.45502, 0.44691, 0.0416, 0.08838, 1
0.45744, 0.44709, 0.32975, 0.47525, 0.46301, 0.44851, 0.03609, 0.04327, 1
0.45827, 0.44403, 0.314, 0.47945, 0.45902, 0.4458, 0.09625, 0.07095, 1
0.4493, 0.43793, 0.30088, 0.48421, 0.44706, 0.43545, 0.09308, 0.1069, 1
0.45419, 0.44403, 0.28009, 0.48308, 0.44881, 0.43608, 0.08934, 0.05693, 0
0.42484, 0.42333, 0.26514, 0.48748, 0.42552, 0.42233, 0.09388, 0.06296, 1
0.46286, 0.45765, 0.24979, 0.47739, 0.46421, 0.4633, 0.0935, 0.06528, 1
0.43756, 0.43225, 0.21611, 0.48278, 0.44191, 0.44224, 0.05486, 0.06937, 0
0.45144, 0.44606, 0.19985, 0.4737, 0.45826, 0.45492, 0.07191, 0.08243, 1
0.45405, 0.44159, 0.17244, 0.47556, 0.45869, 0.45393, 0.03742, 0.02979, 1
0.45064, 0.44017, 0.16453, 0.47891, 0.45403, 0.44519, 0.03263, 0.03605, 1
0.45111, 0.44159, 0.15402, 0.48096, 0.45346, 0.44458, 0.02723, 0.03008, 0
0.11671, 0.10823, 0.35602, 0.56383, 0.11485, 0.11115, 0.10279, 0.10202, 0
0.47455, 0.46377, 0.38117, 0.47545, 0.47463, 0.46166, 0.11604, 0.15629, 0
0.45178, 0.44843, 0.38873, 0.47999, 0.45494, 0.45174, 0.06401, 0.12804, 0
0.44343, 0.43622, 0.38315, 0.47991, 0.44953, 0.44673, 0.04208, 0.06733, 0
