SMA_3_M_Baixo,SMA_3_Baixo,SMA_3_Medio,SMA_3_Alto,SMA_3_M_Alto,EMA_3_M_Baixo,EMA_3_Baixo,EMA_3_Medio,EMA_3_Alto,EMA_3_M_Alto,SMA_5_M_Baixo,SMA_5_Baixo,SMA_5_Medio,SMA_5_Alto,SMA_5_M_Alto,EMA_5_M_Baixo,EMA_5_Baixo,EMA_5_Medio,EMA_5_Alto,EMA_5_M_Alto,std_close3_M_Baixo,std_close3_Baixo,std_close3_Medio,std_close3_Alto,std_close3_M_Alto,std_open3_M_Baixo,std_open3_Baixo,std_open3_Medio,std_open3_Alto,std_open3_M_Alto,ADXR_M_Baixo,ADXR_Baixo,ADXR_Medio,ADXR_Alto,ADXR_M_Alto,Bollinger_Norm_M_Baixo,Bollinger_Norm_Baixo,Bollinger_Norm_Medio,Bollinger_Norm_Alto,Bollinger_Norm_M_Alto,trend,datetime
0.007681601802792393,0.2689857481849169,0.9927597602205795,0.386185956268629,0.01583383821994788,0.006977914302534288,0.2558363346110984,0.9886355721855914,0.40266850012919153,0.017286079140567425,0.006714876249844379,0.25072796491229776,0.9867450436514664,0.4093026414253951,0.017894581944524864,0.006535358344916584,0.24717643242601758,0.9853309608665176,0.41399454121864526,0.018333463397278482,0.9708438546249891,0.4539865069458493,0.0223755603607482,0.00011623644291400785,6.364262989917697e-08,0.990071088987434,0.3972957439969237,0.01680346564094221,7.490679707771558e-05,3.51950031628921e-08,0.0015313595459815952,0.1101477103124523,0.8350475247411058,0.6672434635550317,0.05619463811786936,0.04512422985161654,0.6130133011374168,0.8777430690546798,0.13246536345641047,0.0021070492057214236,0,2024-01-02 16:40:00
0.009907868164771303,0.30648937546335203,0.9992819547509042,0.3433982529427606,0.012437856259185096,0.00986550213142087,0.3058250737458185,0.9992275491769635,0.34410669709654923,0.012489908782337232,0.01021970795648907,0.31132738189571774,0.9996168525790752,0.338288500392286,0.012066416617010443,0.00944891609447039,0.29920015362814084,0.9985712258859506,0.35126404542757916,0.013023441558541385,0.9795253517814327,0.431461504362164,0.020031148091044258,9.801827287390497e-05,5.0552852429787577e-08,0.9860445902937353,0.41165290071617167,0.018113535265995663,8.400645875397198e-05,4.1063839145115525e-08,0.0013883640434621863,0.10400925814837893,0.8212550548321503,0.6834732603985523,0.05995182618471933,0.016782366055707865,0.39705853614611514,0.990132464248613,0.2602372609112365,0.007209133597455437,1,2024-01-02 16:35:00
0.00740332786839789,0.26387168587862764,0.9912792515162934,0.39249728414677193,0.01638003071235689,0.007594739270345595,0.26740099828507713,0.9923173740017742,0.3881285430238246,0.016000663223239293,0.008743743159184152,0.28757842097467795,0.9969023349490201,0.3642389181340127,0.014026764231523192,0.0077251170815294656,0.2697757791189018,0.9929748671470591,0.3852219035576115,0.015751470540272903,0.9873026691980149,0.40739214734022466,0.017717906749627862,8.121749408239112e-05,3.9239564164200334e-08,0.8716806610872668,0.6211356383107777,0.04665013457363882,0.00036928083528260143,3.081045087547027e-07,0.0020480054674620585,0.13032468864148955,0.8740971335666629,0.6179169547554915,0.04604027862948731,0.024879362707888056,0.47628366520315946,0.9610136099590522,0.20437642830662348,0.004581097001428924,1,2024-01-02 16:30:00
0.007896883686199743,0.2728694415856848,0.9937828063866159,0.38147446351600467,0.01543394253463543,0.007323484101389115,0.26238405168470924,0.9908194899002442,0.3943565542152568,0.0165432564200198,0.00943062549544189,0.29890532622406085,0.9985371443130593,0.35158651646681527,0.013047809688667885,0.008252555619706154,0.279153794888975,0.9952588038933483,0.37399512007355423,0.014812666969624251,0.8519948285555756,0.6464992477141259,0.0517054717320957,0.0004358553702244621,3.8724490609921877e-07,0.8717657954684898,0.6210226578695608,0.04662861134498173,0.0003690072796081809,3.0779020967585256e-07,0.002617416789125384,0.1498622576530754,0.9043760937290493,0.5752323370483884,0.03856336530625512,0.010327069384548228,0.31297243676205816,0.99970647108645,0.3365707194314835,0.011943113911162914,1,2024-01-02 16:25:00
0.009643636051090533,0.302318011754162,0.9989060633590956,0.34787457728789933,0.012769037125148241,0.009700216086030989,0.3032169214229902,0.998993988522439,0.3469043385810925,0.012696791961505478,0.012355182974907218,0.34226924669275266,0.9993646705256709,0.3075512674739477,0.009975816819439738,0.011272855875411906,0.3270360876957913,0.9999880695127952,0.3222785301501839,0.010947257801391752,0.9029930908067922,0.5772897866659539,0.03889920598432588,0.00027626445742419897,2.0679817824958618e-07,0.9327108768504382,0.5300541815424978,0.03174906239214899,0.00020043749173708834,1.3337192826099067e-07,0.003663725660157907,0.18083699280688906,0.940782049501942,0.5158556408732973,0.02981293692345871,0.003378158006471605,0.1728903821738392,0.932607976015294,0.5302306544543735,0.031773711996440065,0,2024-01-02 16:20:00
0.009906570562211335,0.30646905428295024,0.9992803208846679,0.3434198997905396,0.012439444741667001,0.01157636584445888,0.3313956715433637,0.9999052205430013,0.31798618749414725,0.010658475502992877,0.012746911463865512,0.34757779976609154,0.998933334509485,0.3025926659359141,0.009660902634334086,0.012543767814794517,0.3448377920898149,0.9991693896158601,0.3051411658209861,0.009821999268346869,0.9585645202562001,0.48145991008306266,0.025488033323928506,0.00014221648414204367,8.363748503413959e-08,0.9262726019406371,0.5408971683432819,0.03329108986936548,0.0002159626928730904,1.476613622952651e-07,0.005515863163103223,0.22588859413132992,0.9750177836488356,0.4435761500673879,0.02126969455172831,0.002861553609106565,0.15758355109770508,0.9146549627147548,0.5595528640229921,0.03607965420938753,1,2024-01-02 16:15:00
0.007068804294578518,0.25757604566044257,0.9892416674502534,0.40043934818632565,0.01708474521181382,0.007704716476385968,0.26940572098838367,0.9928745570602281,0.3856731148189669,0.015789986715266907,0.007840496366549031,0.2718581798977605,0.9935246980840083,0.3826946106236601,0.015536866727007407,0.008340064223974146,0.280675739202511,0.9955836846908118,0.37221003899513116,0.014666814853302554,0.9629616180693986,0.47207002184487423,0.02439165577846722,0.00013283531768027899,7.62470860199458e-08,0.7891559900474514,0.7192607975294265,0.0690951141777552,0.0006995933991444956,7.46588821704887e-07,0.0061529379572626275,0.23942366629972336,0.9819492291560532,0.4244713728473477,0.019339497876172347,0.014346961286534008,0.3682550622206934,0.9962651541113728,0.28407863406286166,0.008537674974790327,0,2024-01-02 16:10:00
0.011727443703163663,0.3335395570699424,0.9998359641280934,0.3158985093586031,0.010519711137428042,0.01327544231370327,0.3545807069913294,0.9982024214325447,0.2961826074918364,0.0092627064557221,0.010164632037546306,0.3104794323016018,0.9995658850203827,0.339177809234783,0.012130560043821131,0.012497340554014302,0.3442076945275533,0.9992196363528582,0.3057304963633353,0.009859479275375123,0.7873423274915147,0.7212069985084246,0.06962956481172984,0.0007085407699915588,7.599297115624273e-07,0.7892434158751774,0.7191667883682631,0.06906940177223095,0.000699164198303932,7.459506286511313e-07,0.004827718197554536,0.21026643608951934,0.9652402233576314,0.4670230168806114,0.023816534819965648,0.0075054760606639275,0.2657615588616575,0.9918442882795199,0.3901505707598258,0.016175526004680363,1,2024-01-02 16:05:00
0.005126920092813016,0.21719845602115015,0.9698271423326849,0.45642492295417636,0.02264027945227073,0.00514944122720485,0.21771125284927928,0.9701503931915155,0.4556534540492973,0.022556290813021965,0.00469668121987425,0.20715756991637513,0.9630480302241639,0.47188101235355645,0.02436994075303378,0.0052167946143597665,0.21923762433245816,0.9710997708810938,0.4533671319833051,0.022308667332979915,0.7868852985921734,0.7216962161906337,0.06976455701345685,0.000710808592774405,7.633222350530349e-07,0.6647476613331056,0.8371268738406014,0.11111256308229435,0.0015544346306607863,2.292024081551661e-06,0.003920759336029186,0.1877183669533473,0.9472852288013054,0.5038394612742156,0.028244962875771707,0.08432029373048808,0.7694321103742102,0.740024193214266,0.075016870980093,0.0008015108179327296,1,2024-01-02 16:00:00
0.007541889555177907,0.2664316866714266,0.9920395707424677,0.38932252653469057,0.01610376729251892,0.005627423378535832,0.22831883256523625,0.9763629604268628,0.4400664619378291,0.020905601298236733,0.008102298741982704,0.2765184733665936,0.9946664388759625,0.3771101263417329,0.015069413154368268,0.0069980685242150426,0.25622320878581095,0.9887719928756982,0.4021714740293871,0.01724105292698253,0.3798019405493071,0.9941287801321044,0.2742619313865002,0.007974910704649752,2.444125733241499e-05,0.6035361985163598,0.8846672871583863,0.13667655683629595,0.002225591768005649,3.819745243782017e-06,0.005996748521521336,0.23618000828538324,0.9804102566000124,0.4289532614145611,0.019781058081074346,0.020208253658374673,0.4332248310667174,0.9788932035156457,0.2331281412740601,0.005851827353698893,1,2024-01-02 15:50:00
