datetime,id_ticker,open,close,high,low,average,volume,business,amount_stock,date,Bands_Norm,NSMA_3,NSMA_5,NSMA_7,NSMA_9,NSMA_11,trend
2024-01-02 14:45:00,58413,134875,134860,134895,134835,134863.37,14929375.5,30,110,2024-01-02,1.376312729982311,-1.3333333333333333,-4.683333333333334,-5.92857166666654,-6.333333333333333,-6.924241666666543,0.0
2024-01-02 14:40:00,58413,134885,134890,134920,134860,134884.84,15592688.0,30,115,2024-01-02,1.1875550498529148,-0.361111666666693,-2.6166666666666667,-5.0,-5.814814999999848,-6.21969666666652,1.0
2024-01-02 14:35:00,58413,134815,134845,134860,134815,134836.56,13712878.5,30,101,2024-01-02,0.9435944564763264,1.1111111111111112,-0.3333333333333333,-3.809524444444752,-5.543208888889057,-6.333333333333333,1.0
2024-01-02 14:30:00,58413,134750,134785,134810,134725,134774.17,15054274.5,30,111,2024-01-02,0.6706483803067678,1.3529411764705883,1.223529411764706,0.1176470588235294,-1.2745094117646871,-1.8663105882351587,1.0
2024-01-02 14:25:00,58413,134860,134750,134910,134750,134824.13,15990141.5,30,118,2024-01-02,0.1955784652859658,0.2708331249999901,0.475,0.2544643749999523,-0.4930556249999426,-0.9232956249999916,1.0
2024-01-02 14:20:00,58413,134880,134870,134945,134860,134891.61,15526024.0,30,115,2024-01-02,1.0245991847739089,-0.6862741176470402,-0.3764705882352941,-0.4285717647060451,-1.2745094117646871,-2.44919764705872,1.0
2024-01-02 14:15:00,58413,134815,134835,134840,134780,134810.88,14289953.5,30,106,2024-01-02,0.518207552255547,0.638888333333307,0.6166666666666667,0.8928566666664361,0.4074066666667931,-1.2651516666664977,1.0
2024-01-02 14:10:00,58413,134730,134825,134850,134730,134794.85,14679159.5,30,108,2024-01-02,0.4531882368944325,0.9444441666666534,0.6916666666666667,0.8214283333332181,0.7916666666666666,0.2992424999999154,1.0
2024-01-02 14:05:00,58413,134670,134690,134690,134650,134669.96,14167279.5,30,105,2024-01-02,-0.6059457551708514,3.3333324999999605,3.6,3.75,4.16666750000004,3.647727499999746,1.0
2024-01-02 14:00:00,58413,134675,134660,134705,134645,134682.89,15044079.0,30,111,2024-01-02,-0.4208701440171753,1.3333333333333333,2.183333333333333,2.1428566666664364,2.4907400000001263,2.5454549999999774,1.0
2024-01-02 13:55:00,58413,134595,134665,134675,134565,134625.05,13677905.0,30,101,2024-01-02,-0.159235108173124,0.9696972727272872,1.5454545454545454,1.7402600000001258,1.858585454545524,2.033058181818077,1.0
2024-01-02 13:50:00,58413,134590,134595,134645,134575,134598.66,14953911.0,30,111,2024-01-02,-0.3221461427872523,0.9285714285714286,1.6,2.275510000000109,2.38095285714288,2.707792857142964,1.0
2024-01-02 13:45:00,58413,134435,134585,134590,134435,134539.86,14368857.5,30,106,2024-01-02,-0.1804412331220343,1.1612903225806452,1.3161290322580643,1.668202580645072,1.835125161290372,1.947214193548444,1.0
2024-01-02 15:40:00,58413,134115,134045,134155,134025,134091.24,16560268.5,30,123,2024-01-02,-0.8562185626568558,2.9487176923076803,3.730769230769231,4.2747253846153255,4.739316153846224,4.916083846153924,0.0
2024-01-02 13:40:00,58413,134385,134460,134460,134355,134391.4,15696915.5,30,116,2024-01-02,0.3091884939778243,0.0793647619047468,1.0952380952380951,1.6530609523808206,2.291005714285642,2.6623380952381663,1.0
2024-01-02 15:45:00,58413,134065,133985,134065,133975,133998.29,16575588.5,30,123,2024-01-02,-0.4611122965179184,2.0925922222222044,3.988888888888889,5.031745555555487,5.845678888888991,6.555555555555555,0.0
2024-01-02 15:55:00,58413,133955,133845,134000,133825,133886.85,17311569.5,30,129,2024-01-02,-0.3626412003230472,1.552381142857152,2.051428571428572,2.779592000000079,3.241269714285653,3.69610400000005,0.0
2024-01-02 17:50:00,58413,134010,134160,134175,134010,134085.96,18034561.0,30,134,2024-01-02,0.3361989409742084,-0.0808078787878691,0.5393939393939394,1.3896103030303493,1.959595757575748,2.4269969696969245,1.0
2024-01-02 17:45:00,58413,133980,133990,134005,133970,133987.43,17136992.5,30,127,2024-01-02,0.1217547001269449,0.8095228571428119,3.3714285714285714,5.224488571428394,8.25396857142831,10.415585714285926,1.0
2024-01-02 17:40:00,58413,133925,133965,133980,133925,133961.92,15981657.5,30,119,2024-01-02,0.1842479068127022,2.060605454545425,1.1636363636363636,2.532467272727412,4.656565454545621,6.247934545454337,1.0
2024-01-02 17:35:00,58413,133915,133965,133975,133915,133956.24,16047957.0,30,119,2024-01-02,0.2255359026072035,0.9722216666666402,1.1666666666666667,2.2976183333332303,3.2685183333334864,4.840908333333209,1.0
2024-01-02 17:30:00,58413,133825,133925,133940,133825,133900.79,16978620.5,30,126,2024-01-02,0.1586030259584168,1.101449565217405,1.5304347826086957,1.316770434782729,1.8502417391305284,2.723319999999924,1.0
2024-01-02 17:25:00,58413,133850,133820,133850,133800,133819.42,15697018.5,30,117,2024-01-02,-0.2510829848889654,2.066665999999968,2.66,3.0571419999998763,4.255556000000215,5.354545999999973,1.0
2024-01-02 17:20:00,58413,133875,133860,133890,133825,133866.76,14885983.5,30,111,2024-01-02,-0.0483580665933064,0.6666661538461295,1.2615384615384615,2.0,1.8632476923078332,2.7202800000001357,1.0
2024-01-02 17:15:00,58413,133830,133885,133905,133815,133862.99,15514720.5,30,115,2024-01-02,0.1916632232773411,0.4444444444444444,0.8444444444444444,1.1190477777776928,1.3333333333333333,1.9141411111111264,1.0
