@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real[-0.01,1.01]
@attribute SMA_3 real[-0.01,1.01]
@attribute ADXR real[-0.01,1.01]
@attribute Bollinger_Norm real[-0.01,1.01]
@attribute EMA_5 real[-0.01,1.01]
@attribute SMA_5 real[-0.01,1.01]
@attribute std_close3 real[-0.01,1.01]
@attribute std_open3 real[-0.01,1.01]
@attribute trend{0,1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.46265, 0.45244, 0.36648, 0.46648, 0.46862, 0.4649, 0.05533, 0.07576, 1
0.43029, 0.42673, 0.38506, 0.48435, 0.41728, 0.41858, 0.08484, 0.10444, 1
0.44636, 0.43024, 0.42629, 0.47947, 0.44851, 0.44148, 0.12085, 0.0022, 0
0.4469, 0.43974, 0.40392, 0.48042, 0.45144, 0.44774, 0.02347, 0.01539, 1
0.45401, 0.44469, 0.40163, 0.47104, 0.45858, 0.45474, 0.0177, 0.01143, 0
0.44901, 0.43912, 0.39784, 0.47934, 0.4539, 0.45011, 0.01211, 0.02286, 0
0.45398, 0.4416, 0.28012, 0.47406, 0.46117, 0.45162, 0.03468, 0.02678, 0
0.442, 0.4418, 0.28247, 0.48057, 0.44512, 0.45061, 0.1121, 0.08871, 1
0.45127, 0.44507, 0.25951, 0.47974, 0.4577, 0.45383, 0.04985, 0.01091, 0
0.45021, 0.44282, 0.24226, 0.47246, 0.45968, 0.45421, 0.04525, 0.0322, 0
0.45311, 0.44303, 0.23203, 0.47104, 0.46212, 0.45707, 0.01782, 0.0179, 1
0.44872, 0.44139, 0.22596, 0.48276, 0.45217, 0.44316, 0.00198, 0.01575, 0
0.44418, 0.4377, 0.22452, 0.48414, 0.44944, 0.44428, 0.0307, 0.02462, 1
0.44556, 0.43808, 0.39222, 0.48166, 0.45191, 0.44886, 0.02998, 0.05173, 1
0.45232, 0.44409, 0.20055, 0.47983, 0.45542, 0.44509, 0.02506, 0.04566, 1
0.44686, 0.43251, 0.14466, 0.48427, 0.4369, 0.42283, 0.18098, 0.24223, 1
0.44958, 0.44056, 0.13281, 0.47553, 0.45269, 0.45274, 0.00598, 0.01662, 0
