id_ticker,date,time,open,close,high,low,average,volume,business,amount_stock
2952,2024-01-02,09:00:00,138040,137095,138040,137090,137315.67,6659810.0,12,48
58413,2024-01-02,15:35:00,134350,134150,134400,134150,134282.96,16019957.0,30,119
58413,2024-01-02,15:30:00,134355,134370,134405,134330,134372.53,15842521.5,30,117
58413,2024-01-02,15:25:00,134360,134385,134440,134360,134404.0,17244033.0,30,128
58413,2024-01-02,15:20:00,134335,134355,134375,134310,134338.26,16671377.5,30,124
58413,2024-01-02,15:15:00,134230,134325,134335,134225,134296.09,16209538.5,30,120
58413,2024-01-02,15:10:00,134150,134260,134285,134150,134227.42,16630777.5,30,123
58413,2024-01-02,15:05:00,134355,134145,134355,134085,134166.74,17669759.0,30,131
58413,2024-01-02,15:00:00,134620,134360,134620,134360,134523.68,16317722.0,30,121
58413,2024-01-02,14:55:00,134760,134640,134760,134640,134710.97,15572588.5,30,115
58413,2024-01-02,14:50:00,134840,134765,134840,134755,134790.04,16498300.5,30,122
58413,2024-01-02,14:45:00,134875,134860,134895,134835,134863.37,14929375.5,30,110
58413,2024-01-02,14:40:00,134885,134890,134920,134860,134884.84,15592688.0,30,115
58413,2024-01-02,14:35:00,134815,134845,134860,134815,134836.56,13712878.5,30,101
58413,2024-01-02,14:30:00,134750,134785,134810,134725,134774.17,15054274.5,30,111
58413,2024-01-02,14:25:00,134860,134750,134910,134750,134824.13,15990141.5,30,118
58413,2024-01-02,14:20:00,134880,134870,134945,134860,134891.61,15526024.0,30,115
58413,2024-01-02,14:15:00,134815,134835,134840,134780,134810.88,14289953.5,30,106
58413,2024-01-02,14:10:00,134730,134825,134850,134730,134794.85,14679159.5,30,108
58413,2024-01-02,14:05:00,134670,134690,134690,134650,134669.96,14167279.5,30,105
58413,2024-01-02,14:00:00,134675,134660,134705,134645,134682.89,15044079.0,30,111
58413,2024-01-02,13:55:00,134595,134665,134675,134565,134625.05,13677905.0,30,101
58413,2024-01-02,13:50:00,134590,134595,134645,134575,134598.66,14953911.0,30,111
58413,2024-01-02,13:45:00,134435,134585,134590,134435,134539.86,14368857.5,30,106
58413,2024-01-02,15:40:00,134115,134045,134155,134025,134091.24,16560268.5,30,123
58413,2024-01-02,13:40:00,134385,134460,134460,134355,134391.4,15696915.5,30,116
58413,2024-01-02,15:45:00,134065,133985,134065,133975,133998.29,16575588.5,30,123
58413,2024-01-02,15:55:00,133955,133845,134000,133825,133886.85,17311569.5,30,129
58413,2024-01-02,17:50:00,134010,134160,134175,134010,134085.96,18034561.0,30,134
58413,2024-01-02,17:45:00,133980,133990,134005,133970,133987.43,17136992.5,30,127
58413,2024-01-02,17:40:00,133925,133965,133980,133925,133961.92,15981657.5,30,119
58413,2024-01-02,17:35:00,133915,133965,133975,133915,133956.24,16047957.0,30,119
58413,2024-01-02,17:30:00,133825,133925,133940,133825,133900.79,16978620.5,30,126
58413,2024-01-02,17:25:00,133850,133820,133850,133800,133819.42,15697018.5,30,117
58413,2024-01-02,17:20:00,133875,133860,133890,133825,133866.76,14885983.5,30,111
58413,2024-01-02,17:15:00,133830,133885,133905,133815,133862.99,15514720.5,30,115
58413,2024-01-02,17:10:00,133835,133830,133850,133785,133822.25,16138963.0,30,120
58413,2024-01-02,17:05:00,133800,133830,133855,133780,133804.82,17568573.0,30,131
