@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real [-0.01, 1.01]
@attribute SMA_3 real [-0.01, 1.01]
@attribute ADXR real [-0.01, 1.01]
@attribute Bollinger_Norm real [-0.01, 1.01]
@attribute EMA_5 real [-0.01, 1.01]
@attribute SMA_5 real [-0.01, 1.01]
@attribute std_close3 real [-0.01, 1.01]
@attribute std_open3 real [-0.01, 1.01]
@attribute trend {0, 1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.45465, 0.44635, 0.40824, 0.48085, 0.44913, 0.45099, 0.03592, 0.06895, 1
0.4455, 0.43933, 0.43396, 0.4804, 0.44783, 0.43598, 0.00913, 0.08255, 1
0.45196, 0.44634, 0.42682, 0.48058, 0.45391, 0.44986, 0.0359, 0.02121, 1
0.45634, 0.44408, 0.29274, 0.4709, 0.46628, 0.45953, 0.01562, 0.04233, 1
0.45056, 0.44263, 0.26357, 0.4829, 0.44134, 0.43424, 0.07444, 0.03455, 0
0.45421, 0.44282, 0.25397, 0.47097, 0.4622, 0.4562, 0.01047, 0.00953, 0
0.47105, 0.45299, 0.29676, 0.47518, 0.46768, 0.46467, 0.11692, 0.11903, 1
0.45842, 0.45134, 0.35229, 0.48003, 0.45664, 0.45504, 0.04911, 0.05934, 0
0.45223, 0.43834, 0.23254, 0.47998, 0.45285, 0.45159, 0.06595, 0.08297, 0
0.45651, 0.44484, 0.18221, 0.47213, 0.46283, 0.46083, 0.01798, 0.00574, 1
0.4294, 0.42236, 0.37015, 0.48219, 0.43511, 0.42616, 0.09126, 0.08654, 1
0.43098, 0.42072, 0.39602, 0.4876, 0.43275, 0.42606, 0.11403, 0.15727, 1
0.45847, 0.44533, 0.38287, 0.47139, 0.46571, 0.46054, 0.03144, 0.07465, 1
0.45495, 0.44574, 0.39188, 0.4732, 0.46107, 0.45815, 0.026, 0.0343, 0
0.45626, 0.44554, 0.39441, 0.46986, 0.46616, 0.46231, 0.03082, 0.07531, 1
0.46048, 0.44636, 0.21658, 0.47821, 0.46151, 0.44534, 0.1018, 0.06626, 0
0.4167, 0.41569, 0.24048, 0.47777, 0.43672, 0.44785, 0.21677, 0.15861, 0
0.51377, 0.4841, 0.28563, 0.47495, 0.50364, 0.47802, 0.36991, 0.44269, 1
0.44631, 0.43581, 0.27596, 0.48212, 0.44423, 0.44247, 0.05189, 0.03465, 1
0.46962, 0.45526, 0.42645, 0.47402, 0.4724, 0.46149, 0.09505, 0.02564, 0
0.48962, 0.46894, 0.42941, 0.47012, 0.48861, 0.47523, 0.19617, 0.23159, 0
0.39964, 0.39544, 0.42854, 0.48904, 0.40666, 0.4012, 0.2209, 0.26512, 1
0.44411, 0.43507, 0.3423, 0.47717, 0.44977, 0.43728, 0.03248, 0.04909, 1
0.45504, 0.44383, 0.19836, 0.48213, 0.4535, 0.44543, 0.06418, 0.10862, 0
0.45354, 0.442, 0.17704, 0.47365, 0.46023, 0.45258, 0.01747, 0.02823, 1
0.47601, 0.47465, 0.20339, 0.46901, 0.48967, 0.49414, 0.25541, 0.24858, 1
0.44627, 0.43688, 0.27531, 0.47398, 0.4614, 0.46215, 0.0634, 0.04789, 1
0.42124, 0.41044, 0.25535, 0.4868, 0.40968, 0.3915, 0.24022, 0.17627, 0
0.45136, 0.44751, 0.2333, 0.48066, 0.44937, 0.44999, 0.05523, 0.06063, 1
0.45855, 0.45652, 0.21667, 0.47091, 0.47192, 0.47069, 0.16917, 0.07439, 0
0.44665, 0.43788, 0.28106, 0.48352, 0.44874, 0.44161, 0.0261, 0.0362, 1
0.44845, 0.43602, 0.27054, 0.47445, 0.45648, 0.45462, 0.02768, 0.0088, 0
0.44711, 0.43767, 0.19086, 0.48419, 0.44971, 0.43935, 0.04001, 0.04298, 0
0.45017, 0.44408, 0.19336, 0.4776, 0.45693, 0.45462, 0.05367, 0.07305, 0
0.4362, 0.43069, 0.12321, 0.48329, 0.4373, 0.43901, 0.05686, 0.02879, 0
0.44791, 0.43872, 0.18632, 0.48217, 0.44216, 0.44427, 0.05614, 0.07655, 1
0.48747, 0.45935, 0.4481, 0.47031, 0.52227, 0.53366, 0.10007, 0.06134, 1
0.44796, 0.43974, 0.44219, 0.48318, 0.45342, 0.43703, 0.02669, 0.03424, 0
0.44757, 0.44016, 0.4451, 0.48246, 0.45219, 0.44463, 0.00715, 0.01948, 0
0.45363, 0.44304, 0.42927, 0.47057, 0.46059, 0.45747, 0.0091, 0.01161, 1
0.45133, 0.44076, 0.38876, 0.47651, 0.46545, 0.44604, 0.0073, 0.02638, 0
0.44806, 0.44055, 0.49541, 0.47311, 0.45939, 0.45469, 0.05103, 0.02495, 1
0.45626, 0.43761, 0.42854, 0.47577, 0.46877, 0.47774, 0.01733, 0.03702, 1
0.44127, 0.43299, 0.10597, 0.48502, 0.44566, 0.4356, 0.04257, 0.07343, 1
0.45269, 0.43783, 0.13313, 0.47354, 0.4602, 0.45519, 0.04503, 0.02576, 0
0.44143, 0.43657, 0.13445, 0.47646, 0.45242, 0.44668, 0.08022, 0.12385, 1
0.47671, 0.46087, 0.14162, 0.47265, 0.48282, 0.48108, 0.10535, 0.09673, 0
0.44892, 0.43847, 0.10169, 0.47732, 0.45374, 0.45264, 0.01576, 0.04889, 1
0.4445, 0.4301, 0.20097, 0.48323, 0.44617, 0.43782, 0.10698, 0.1314, 0
0.46499, 0.45355, 0.19568, 0.46954, 0.47343, 0.47374, 0.06389, 0.15661, 0
0.45979, 0.44391, 0.19841, 0.47753, 0.46234, 0.45354, 0.0868, 0.00805, 1
0.45077, 0.44223, 0.17613, 0.48265, 0.44997, 0.43845, 0.04053, 0.11946, 0
0.44467, 0.44077, 0.15481, 0.47766, 0.45185, 0.451, 0.08038, 0.1672, 1
0.46301, 0.45418, 0.27232, 0.47917, 0.45935, 0.44149, 0.08239, 0.07698, 0
0.46636, 0.45445, 0.27515, 0.47097, 0.48512, 0.48, 0.09431, 0.11275, 1
0.44469, 0.4292, 0.20926, 0.47373, 0.4654, 0.46311, 0.06218, 0.24289, 1
0.45248, 0.43867, 0.33626, 0.47912, 0.45428, 0.45443, 0.06084, 0.05203, 1
0.44895, 0.44076, 0.34658, 0.48314, 0.44967, 0.44478, 0.01415, 0.02745, 0
0.44337, 0.44728, 0.34455, 0.47294, 0.46535, 0.47699, 0.28792, 0.3456, 1
0.45201, 0.44308, 0.23028, 0.4722, 0.4603, 0.45509, 0.02467, 0.04721, 1
0.44232, 0.44642, 0.23563, 0.48376, 0.42626, 0.40823, 0.02977, 0.0574, 1
0.44879, 0.43909, 0.37085, 0.47444, 0.45612, 0.45239, 0.01724, 0.09155, 0
0.4117, 0.41595, 0.36395, 0.4866, 0.41637, 0.41663, 0.17359, 0.20025, 1
0.4551, 0.44452, 0.29172, 0.47061, 0.4662, 0.46338, 0.03527, 0.08725, 0
0.47092, 0.45808, 0.30286, 0.46585, 0.47772, 0.47158, 0.08216, 0.02118, 0
0.45345, 0.44448, 0.31237, 0.47347, 0.46238, 0.46684, 0.05404, 0.05681, 1
0.44453, 0.43357, 0.22741, 0.48136, 0.4481, 0.43789, 0.06198, 0.06015, 0
0.43434, 0.43116, 0.21807, 0.48318, 0.42788, 0.43424, 0.04913, 0.03605, 1
0.44865, 0.44447, 0.21619, 0.47648, 0.45675, 0.44626, 0.04734, 0.0447, 0
0.44645, 0.44077, 0.22659, 0.47655, 0.4562, 0.45584, 0.08243, 0.04753, 1
0.44744, 0.43639, 0.38339, 0.4826, 0.45232, 0.4443, 0.0404, 0.00802, 1
0.45062, 0.44244, 0.28298, 0.4733, 0.46246, 0.45581, 0.04928, 0.07708, 0
0.44406, 0.437, 0.29366, 0.47405, 0.45818, 0.45505, 0.07611, 0.09048, 0
0.44778, 0.4393, 0.33016, 0.47474, 0.45847, 0.44973, 0.02778, 0.0716, 1
0.42238, 0.41541, 0.35075, 0.48029, 0.43263, 0.42154, 0.12439, 0.14708, 1
0.43966, 0.43972, 0.33941, 0.48286, 0.43477, 0.43201, 0.05111, 0.05594, 1
0.4518, 0.4393, 0.4102, 0.48249, 0.45245, 0.44327, 0.07215, 0.04602, 1
0.4374, 0.43305, 0.42145, 0.48691, 0.44025, 0.43532, 0.04921, 0.03497, 0
0.45253, 0.44682, 0.40691, 0.47783, 0.45726, 0.45593, 0.05748, 0.05035, 0
0.45075, 0.43892, 0.35965, 0.48165, 0.45406, 0.447, 0.04432, 0.04449, 1
0.45809, 0.44653, 0.29701, 0.47017, 0.46773, 0.46844, 0.0353, 0.03806, 1
0.4603, 0.44632, 0.23462, 0.47269, 0.4647, 0.45496, 0.06181, 0.06141, 0
0.44042, 0.43441, 0.17809, 0.47589, 0.45112, 0.44688, 0.06836, 0.0702, 0
0.44569, 0.44139, 0.1877, 0.47339, 0.46005, 0.45771, 0.11509, 0.09351, 1
0.44689, 0.43891, 0.30057, 0.47639, 0.45973, 0.44986, 0.03788, 0.03461, 1
0.44676, 0.44324, 0.45062, 0.48176, 0.44187, 0.43738, 0.02292, 0.04241, 0
0.44507, 0.43892, 0.44164, 0.48072, 0.44427, 0.45498, 0.02491, 0.14529, 0
0.46501, 0.4569, 0.38322, 0.46941, 0.47742, 0.47292, 0.10739, 0.13791, 1
0.32708, 0.32137, 0.54981, 0.60736, 0.33196, 0.32829, 0.01756, 0.09198, 1
0.43387, 0.42481, 0.58392, 0.48959, 0.43666, 0.42938, 0.08792, 0.04542, 1
0.43614, 0.42736, 0.58312, 0.48659, 0.43304, 0.42662, 0.09674, 0.01161, 0
0.45106, 0.44035, 0.5558, 0.48122, 0.45109, 0.45011, 0.03875, 0.03023, 1
0.45038, 0.44097, 0.54926, 0.48171, 0.45037, 0.44554, 0.02979, 0.04584, 0
0.45716, 0.44434, 0.52356, 0.47176, 0.46853, 0.46348, 0.01531, 0.03232, 1
0.44936, 0.43866, 0.45531, 0.48186, 0.45483, 0.4482, 0.02432, 0.03519, 1
0.44158, 0.43867, 0.34155, 0.48319, 0.4471, 0.44413, 0.07118, 0.05707, 1
0.45505, 0.44664, 0.20676, 0.47491, 0.45964, 0.45316, 0.02726, 0.05884, 1
0.68424, 0.67064, 0.29441, 0.35626, 0.69483, 0.68382, 0.06312, 0.07848, 0
0.66254, 0.64505, 0.20309, 0.36956, 0.67203, 0.65945, 0.03334, 0.05406, 1
0.44038, 0.44139, 0.22372, 0.47722, 0.45118, 0.45379, 0.15581, 0.23763, 0
0.4522, 0.43951, 0.21328, 0.4724, 0.46469, 0.46638, 0.01932, 0.02637, 1
0.43125, 0.42984, 0.22455, 0.48354, 0.43832, 0.44124, 0.10944, 0.0433, 0
0.45823, 0.44801, 0.21214, 0.47143, 0.4658, 0.45914, 0.03336, 0.04203, 0
0.4529, 0.44904, 0.25469, 0.48044, 0.45523, 0.44786, 0.05366, 0.04832, 0
0.43535, 0.42451, 0.26446, 0.48484, 0.43165, 0.42155, 0.11904, 0.20004, 0
0.43514, 0.4284, 0.32278, 0.4788, 0.44585, 0.44474, 0.07832, 0.00793, 0
0.45938, 0.44346, 0.23975, 0.47265, 0.46537, 0.46226, 0.05802, 0.11073, 0
0.45048, 0.43971, 0.27359, 0.47442, 0.46045, 0.451, 0.0073, 0.00388, 1
0.45299, 0.44286, 0.28964, 0.47412, 0.46141, 0.45265, 0.0081, 0.00592, 1
0.449, 0.43992, 0.25493, 0.4751, 0.45662, 0.451, 0.0153, 0.01777, 1
0.45248, 0.4416, 0.21713, 0.48164, 0.45549, 0.44769, 0.03515, 0.04358, 0
0.74558, 0.73074, 0.20062, 0.18046, 0.75394, 0.73884, 0.01233, 0.03298, 0
0.44899, 0.43806, 0.20297, 0.47925, 0.45355, 0.44784, 0.03011, 0.03847, 0
0.4292, 0.43891, 0.17131, 0.48446, 0.41576, 0.39978, 0.05126, 0.03545, 0
0.43786, 0.43994, 0.17099, 0.48226, 0.43199, 0.43094, 0.07971, 0.13425, 0
0.44862, 0.43539, 0.16747, 0.47777, 0.44719, 0.44397, 0.08101, 0.04645, 1
0.44162, 0.4385, 0.18235, 0.47381, 0.457, 0.45838, 0.13709, 0.05247, 0
0.45349, 0.44513, 0.26831, 0.482, 0.45813, 0.44508, 0.02462, 0.05993, 0
0.4482, 0.44346, 0.31671, 0.48305, 0.44676, 0.43832, 0.01216, 0.03297, 0
0.44418, 0.43787, 0.33744, 0.48305, 0.44536, 0.44283, 0.02114, 0.04409, 1
0.43405, 0.43218, 0.55668, 0.48277, 0.42361, 0.43348, 0.04378, 0.0582, 0
0.44959, 0.44601, 0.57532, 0.48029, 0.44424, 0.45265, 0.04654, 0.03693, 0
0.54532, 0.52431, 0.55236, 0.46458, 0.55839, 0.55471, 0.40253, 0.49055, 0
0.45746, 0.44731, 0.48969, 0.47462, 0.46935, 0.45856, 0.03358, 0.03155, 0
0.44652, 0.43929, 0.34259, 0.48122, 0.45081, 0.4487, 0.02468, 0.05702, 0
0.45222, 0.44224, 0.32488, 0.47136, 0.46205, 0.46022, 0.03044, 0.0195, 1
0.44976, 0.44266, 0.22866, 0.48163, 0.45843, 0.44742, 0.02746, 0.02354, 1
0.45405, 0.4414, 0.16978, 0.47979, 0.45742, 0.44921, 0.05833, 0.03725, 0
0.46229, 0.4511, 0.30526, 0.47419, 0.46832, 0.45778, 0.05164, 0.04274, 0
0.43678, 0.42917, 0.29632, 0.4835, 0.44479, 0.44053, 0.06234, 0.11489, 0
0.51778, 0.4907, 0.22841, 0.46674, 0.53477, 0.5333, 0.24301, 0.34894, 0
0.4427, 0.43251, 0.19665, 0.48126, 0.44683, 0.44626, 0.04478, 0.19484, 1
0.44939, 0.44013, 0.21862, 0.48316, 0.45063, 0.44421, 0.03047, 0.06313, 1
0.44859, 0.43949, 0.24311, 0.4814, 0.45152, 0.44972, 0.01079, 0.0117, 0
0.46468, 0.449, 0.2775, 0.47492, 0.46517, 0.45626, 0.10092, 0.01844, 0
0.43506, 0.42746, 0.29843, 0.48159, 0.44313, 0.44474, 0.0727, 0.05417, 1
0.45828, 0.45133, 0.29809, 0.47072, 0.4668, 0.46369, 0.07752, 0.20104, 0
0.44855, 0.44139, 0.42694, 0.47548, 0.45553, 0.4525, 0.03998, 0.04417, 1
0.17647, 0.17354, 0.3813, 0.53755, 0.18559, 0.18892, 0.0568, 0.06895, 1
0.45606, 0.44816, 0.18146, 0.4806, 0.45476, 0.45267, 0.03586, 0.03131, 0
0.48548, 0.47552, 0.16948, 0.46524, 0.49212, 0.4925, 0.17513, 0.1431, 1
0.45306, 0.43865, 0.23415, 0.48157, 0.45356, 0.44627, 0.09266, 0.04112, 0
0.45432, 0.44372, 0.31848, 0.46994, 0.45917, 0.45357, 0.0187, 0.04733, 1
0.45134, 0.44118, 0.33583, 0.483, 0.45346, 0.44537, 0.03531, 0.01624, 0
0.44536, 0.43886, 0.32032, 0.47955, 0.45201, 0.45062, 0.04554, 0.0473, 1
0.46941, 0.46937, 0.34112, 0.4721, 0.47906, 0.46871, 0.20128, 0.22884, 0
0.21793, 0.22322, 0.33486, 0.5284, 0.23046, 0.24235, 0.18405, 0.24989, 1
0.47108, 0.46217, 0.31933, 0.46817, 0.487, 0.4893, 0.15074, 0.21071, 1
0.13134, 0.1262, 0.29838, 0.52501, 0.14468, 0.15546, 0.07693, 0.05541, 1
0.4478, 0.43694, 0.32419, 0.48357, 0.45142, 0.44252, 0.04721, 0.05318, 0
0.46095, 0.44967, 0.32092, 0.47757, 0.46257, 0.45435, 0.05656, 0.01413, 0
0.43817, 0.4337, 0.36393, 0.47797, 0.4483, 0.46145, 0.10701, 0.1273, 0
0.44846, 0.43722, 0.0959, 0.47319, 0.45918, 0.45693, 0.02471, 0.03698, 1
0.46291, 0.45002, 0.17135, 0.46967, 0.47453, 0.47751, 0.05308, 0.13622, 0
