@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real [-0.01, 1.01]
@attribute SMA_3 real [-0.01, 1.01]
@attribute ADXR real [-0.01, 1.01]
@attribute Bollinger_Norm real [-0.01, 1.01]
@attribute EMA_5 real [-0.01, 1.01]
@attribute SMA_5 real [-0.01, 1.01]
@attribute std_close3 real [-0.01, 1.01]
@attribute std_open3 real [-0.01, 1.01]
@attribute trend {0, 1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.44268, 0.43025, 0.3864, 0.48212, 0.44626, 0.43473, 0.09102, 0.10233, 0
0.45304, 0.43974, 0.32756, 0.47213, 0.46321, 0.46026, 0.01111, 0.03248, 0
0.448, 0.44036, 0.31305, 0.47392, 0.45921, 0.45224, 0.04859, 0.06314, 0
0.48358, 0.47087, 0.2559, 0.4649, 0.49043, 0.48496, 0.14336, 0.23623, 1
0.45388, 0.43269, 0.24711, 0.4794, 0.45482, 0.44434, 0.17617, 0.2926, 1
0.45401, 0.44242, 0.24373, 0.48176, 0.4501, 0.43532, 0.11081, 0.10051, 1
0.45122, 0.44056, 0.24802, 0.48321, 0.44373, 0.42507, 0.11572, 0.10739, 1
0.44635, 0.4383, 0.2543, 0.48376, 0.43779, 0.4281, 0.08735, 0.07119, 1
0.44766, 0.44346, 0.30315, 0.47418, 0.45855, 0.45812, 0.10588, 0.07439, 0
0.44504, 0.43647, 0.25196, 0.47667, 0.45378, 0.44862, 0.02953, 0.02152, 0
0.44976, 0.44179, 0.38482, 0.47385, 0.45549, 0.45454, 0.029, 0.02625, 1
0.42875, 0.43346, 0.35249, 0.47941, 0.44187, 0.44518, 0.19395, 0.20405, 1
0.45472, 0.44139, 0.38736, 0.47598, 0.45885, 0.44898, 0.0606, 0.03926, 0
0.44331, 0.43518, 0.3907, 0.48366, 0.44761, 0.43819, 0.0314, 0.0309, 0
0.46127, 0.44637, 0.38881, 0.47103, 0.46713, 0.45966, 0.06245, 0.10909, 1
0.48123, 0.4686, 0.25524, 0.46791, 0.48919, 0.48045, 0.13273, 0.10939, 0
0.43953, 0.43416, 0.14173, 0.47747, 0.44794, 0.44723, 0.07382, 0.0793, 0
0.4547, 0.44015, 0.21153, 0.47481, 0.46162, 0.45024, 0.06429, 0.04641, 1
0.46703, 0.46304, 0.25435, 0.46995, 0.49011, 0.49603, 0.23549, 0.15928, 0
0.4558, 0.44223, 0.28549, 0.47275, 0.475, 0.46968, 0.0266, 0.02142, 1
0.44535, 0.43806, 0.28474, 0.48137, 0.4559, 0.44494, 0.03015, 0.06007, 1
0.44502, 0.43891, 0.26571, 0.48104, 0.44113, 0.45312, 0.01635, 0.05189, 1
0.44278, 0.4416, 0.33868, 0.48305, 0.44404, 0.44273, 0.07254, 0.11956, 0
0.45614, 0.45013, 0.31849, 0.47304, 0.46862, 0.46159, 0.08635, 0.04696, 1
0.41653, 0.4086, 0.33751, 0.49029, 0.41857, 0.40835, 0.16857, 0.17033, 1
0.43903, 0.43475, 0.34784, 0.48388, 0.43729, 0.4354, 0.03108, 0.03831, 0
0.46554, 0.45241, 0.41765, 0.4692, 0.47883, 0.47918, 0.06689, 0.07697, 1
0.44362, 0.43486, 0.42906, 0.4759, 0.45359, 0.45271, 0.04703, 0.06135, 1
0.44915, 0.43915, 0.22342, 0.48469, 0.45054, 0.44358, 0.03869, 0.02347, 1
0.42976, 0.432, 0.24109, 0.48321, 0.43846, 0.42772, 0.11944, 0.1774, 0
0.43387, 0.43709, 0.28866, 0.48173, 0.44249, 0.44019, 0.1552, 0.11815, 1
0.43296, 0.43935, 0.24375, 0.4839, 0.42726, 0.41442, 0.08393, 0.05353, 1
0.45148, 0.44159, 0.2249, 0.4798, 0.45141, 0.45963, 0.01042, 0.05852, 0
0.48647, 0.46188, 0.19854, 0.47054, 0.49164, 0.47532, 0.18799, 0.31861, 0
0.45103, 0.44283, 0.28371, 0.48258, 0.45313, 0.44674, 0.01053, 0.03809, 0
0.45761, 0.44656, 0.2074, 0.46947, 0.46502, 0.46177, 0.02618, 0.04048, 1
0.44486, 0.43458, 0.20343, 0.48381, 0.44726, 0.43747, 0.0579, 0.06397, 1
0.43363, 0.43189, 0.19679, 0.48084, 0.44371, 0.44636, 0.12086, 0.08922, 1
0.46423, 0.45567, 0.19433, 0.46829, 0.47453, 0.47482, 0.09838, 0.0793, 1
0.4709, 0.4542, 0.15713, 0.47861, 0.4661, 0.45036, 0.1629, 0.13917, 0
0.43614, 0.43007, 0.13474, 0.4847, 0.4311, 0.42616, 0.06373, 0.04754, 1
0.45099, 0.44118, 0.21431, 0.48346, 0.44545, 0.44055, 0.06166, 0.04701, 1
0.44738, 0.43728, 0.41612, 0.48205, 0.45127, 0.44301, 0.03476, 0.03527, 1
0.4517, 0.44303, 0.40109, 0.48097, 0.45481, 0.44662, 0.01498, 0.02009, 1
0.45044, 0.43562, 0.2955, 0.47429, 0.46016, 0.45211, 0.05075, 0.09928, 0
0.45079, 0.4416, 0.44476, 0.47266, 0.46179, 0.45571, 0.02465, 0.02015, 0
0.46018, 0.44833, 0.52171, 0.46795, 0.46902, 0.46234, 0.03468, 0.03831, 1
0.45447, 0.4437, 0.36103, 0.47621, 0.45949, 0.4468, 0.03385, 0.04073, 0
0.44596, 0.43699, 0.33902, 0.4859, 0.45052, 0.44044, 0.0268, 0.06091, 0
