@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real [-0.01, 1.01]
@attribute SMA_3 real [-0.01, 1.01]
@attribute ADXR real [-0.01, 1.01]
@attribute Bollinger_Norm real [-0.01, 1.01]
@attribute EMA_5 real [-0.01, 1.01]
@attribute SMA_5 real [-0.01, 1.01]
@attribute std_close3 real [-0.01, 1.01]
@attribute std_open3 real [-0.01, 1.01]
@attribute trend {0, 1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.46065, 0.44389, 0.35631, 0.47583, 0.46185, 0.45264, 0.10702, 0.08397, 1
0.44679, 0.43747, 0.41147, 0.4835, 0.4431, 0.44111, 0.04196, 0.10621, 0
0.44677, 0.44098, 0.39901, 0.47311, 0.45824, 0.458, 0.08459, 0.05407, 0
0.45632, 0.44779, 0.29148, 0.47306, 0.46209, 0.46738, 0.06081, 0.06487, 1
0.46443, 0.44841, 0.29725, 0.47083, 0.46719, 0.46638, 0.07276, 0.07046, 0
0.47843, 0.45884, 0.28962, 0.46962, 0.49781, 0.49353, 0.08546, 0.048, 1
0.44026, 0.44159, 0.26186, 0.48237, 0.44542, 0.42979, 0.08205, 0.12571, 0
0.51307, 0.48403, 0.22945, 0.47541, 0.49941, 0.47993, 0.36704, 0.39911, 0
0.43725, 0.43124, 0.37535, 0.47836, 0.44655, 0.44519, 0.07376, 0.07446, 0
0.44639, 0.43467, 0.34174, 0.47678, 0.45502, 0.44691, 0.0416, 0.08838, 1
0.45827, 0.44403, 0.314, 0.47945, 0.45902, 0.4458, 0.09625, 0.07095, 1
0.42484, 0.42333, 0.26514, 0.48748, 0.42552, 0.42233, 0.09388, 0.06296, 1
0.46286, 0.45765, 0.24979, 0.47739, 0.46421, 0.4633, 0.0935, 0.06528, 1
0.45144, 0.44606, 0.19985, 0.4737, 0.45826, 0.45492, 0.07191, 0.08243, 1
0.45111, 0.44159, 0.15402, 0.48096, 0.45346, 0.44458, 0.02723, 0.03008, 0
0.44538, 0.42792, 0.22882, 0.47868, 0.45054, 0.4422, 0.12503, 0.11002, 1
0.45805, 0.44077, 0.2703, 0.47183, 0.47988, 0.47926, 0.03139, 0.03695, 0
0.46517, 0.45214, 0.2963, 0.47788, 0.45938, 0.45149, 0.10578, 0.0477, 0
0.46027, 0.44576, 0.31623, 0.47145, 0.469, 0.46196, 0.04418, 0.05686, 0
0.43678, 0.42913, 0.32441, 0.48032, 0.44719, 0.4428, 0.06307, 0.05241, 1
0.44662, 0.43588, 0.41775, 0.47674, 0.4544, 0.44295, 0.03497, 0.02391, 0
0.46498, 0.4624, 0.40325, 0.47411, 0.47556, 0.4757, 0.19017, 0.26488, 1
0.45004, 0.44017, 0.30294, 0.48227, 0.4545, 0.44826, 0.01609, 0.02606, 1
0.43587, 0.42954, 0.22115, 0.47605, 0.45357, 0.45445, 0.10649, 0.12824, 0
0.43, 0.42565, 0.29892, 0.48834, 0.43123, 0.42113, 0.07565, 0.08876, 0
0.43994, 0.43405, 0.21124, 0.47916, 0.4445, 0.44801, 0.05749, 0.11636, 1
0.45969, 0.44491, 0.2055, 0.47341, 0.46313, 0.454, 0.07476, 0.09386, 0
0.44525, 0.43994, 0.16769, 0.47624, 0.45434, 0.44635, 0.05908, 0.07258, 1
0.45145, 0.43767, 0.1604, 0.48129, 0.45497, 0.44761, 0.07286, 0.12899, 1
0.43526, 0.4247, 0.14991, 0.4866, 0.42933, 0.41489, 0.14447, 0.11368, 1
0.45304, 0.4457, 0.16851, 0.48175, 0.44637, 0.43717, 0.04359, 0.04427, 1
0.45165, 0.44282, 0.20099, 0.48135, 0.44618, 0.44328, 0.04864, 0.08905, 1
0.44014, 0.43425, 0.37539, 0.48528, 0.43896, 0.43639, 0.03348, 0.04202, 0
0.25064, 0.24039, 0.44387, 0.49074, 0.26653, 0.27787, 0.59247, 0.70292, 1
0.47744, 0.44675, 0.44536, 0.47256, 0.49932, 0.48934, 0.1523, 0.09528, 1
0.45622, 0.45148, 0.3385, 0.47133, 0.46619, 0.46359, 0.10539, 0.09349, 0
0.46526, 0.4545, 0.28983, 0.4775, 0.46411, 0.43914, 0.14072, 0.21351, 0
0.45361, 0.43909, 0.36828, 0.47497, 0.47208, 0.44413, 0.02983, 0.02638, 1
0.45429, 0.44055, 0.54392, 0.47528, 0.45992, 0.451, 0.05804, 0.07, 1
0.4548, 0.44413, 0.26704, 0.47039, 0.46377, 0.46208, 0.02259, 0.02939, 1
0.44984, 0.44788, 0.12549, 0.47899, 0.45276, 0.46051, 0.10646, 0.11139, 0
0.43864, 0.4224, 0.15193, 0.48533, 0.43025, 0.41988, 0.21221, 0.0356, 0
0.41054, 0.39385, 0.14467, 0.48254, 0.4169, 0.41788, 0.25197, 0.28692, 1
0.44261, 0.43386, 0.1421, 0.47604, 0.45467, 0.44834, 0.06765, 0.0947, 1
0.42898, 0.43052, 0.13393, 0.47908, 0.44, 0.43592, 0.1408, 0.11512, 1
0.45285, 0.44327, 0.10038, 0.47322, 0.45737, 0.45226, 0.01068, 0.0274, 1
0.4532, 0.44223, 0.10185, 0.47638, 0.45652, 0.44922, 0.03013, 0.03867, 1
0.45209, 0.44139, 0.11108, 0.48216, 0.454, 0.44656, 0.04018, 0.02998, 1
0.4093, 0.40213, 0.20074, 0.49802, 0.41393, 0.40873, 0.0615, 0.08488, 0
0.46016, 0.44705, 0.2066, 0.47399, 0.46418, 0.45823, 0.04779, 0.06441, 0
0.44382, 0.43218, 0.19389, 0.47669, 0.45306, 0.45151, 0.04378, 0.04313, 1
0.44414, 0.437, 0.17049, 0.48418, 0.44442, 0.43795, 0.02455, 0.01158, 1
0.44237, 0.43387, 0.1738, 0.48509, 0.44297, 0.43947, 0.04196, 0.0445, 1
0.22638, 0.2212, 0.27866, 0.54365, 0.22794, 0.22675, 0.16703, 0.15908, 1
0.43972, 0.43125, 0.27265, 0.47652, 0.45372, 0.44371, 0.05537, 0.04211, 1
0.44552, 0.43579, 0.24148, 0.47588, 0.45616, 0.453, 0.03802, 0.0299, 1
0.44884, 0.44014, 0.34745, 0.48292, 0.44905, 0.44287, 0.02675, 0.02577, 1
0.463, 0.44182, 0.34917, 0.47216, 0.47893, 0.47589, 0.06169, 0.07229, 1
0.45653, 0.44392, 0.29172, 0.47147, 0.46434, 0.45726, 0.02645, 0.0103, 0
0.46627, 0.45416, 0.24072, 0.48182, 0.44581, 0.43312, 0.17921, 0.16714, 1
0.45366, 0.44662, 0.35739, 0.47222, 0.46002, 0.45594, 0.04946, 0.14425, 0
0.45095, 0.44223, 0.35173, 0.47199, 0.46218, 0.45937, 0.04751, 0.06666, 1
0.45451, 0.4437, 0.35166, 0.47082, 0.46496, 0.46026, 0.0213, 0.05556, 1
0.45056, 0.44369, 0.36177, 0.48362, 0.44429, 0.42975, 0.06738, 0.05233, 0
0.44229, 0.43702, 0.36974, 0.48337, 0.43869, 0.42587, 0.02899, 0.11342, 1
0.40783, 0.41207, 0.26628, 0.48373, 0.40041, 0.41818, 0.16635, 0.16634, 1
0.44125, 0.43954, 0.31223, 0.47593, 0.45323, 0.45049, 0.11729, 0.13091, 0
0.45593, 0.44778, 0.32631, 0.47091, 0.46899, 0.46573, 0.08224, 0.02198, 1
0.45682, 0.44572, 0.24697, 0.471, 0.46585, 0.46498, 0.02786, 0.03046, 1
0.44585, 0.44015, 0.22081, 0.48149, 0.45034, 0.44163, 0.02292, 0.04113, 0
0.44981, 0.44139, 0.21987, 0.47692, 0.45761, 0.44041, 0.01548, 0.01332, 0
0.44755, 0.43954, 0.22602, 0.47786, 0.45605, 0.45409, 0.02858, 0.05309, 0
0.47727, 0.45886, 0.22511, 0.47091, 0.47817, 0.46668, 0.14462, 0.13204, 0
0.45945, 0.44838, 0.23299, 0.47221, 0.46879, 0.47142, 0.04324, 0.07672, 0
0.44949, 0.43782, 0.4328, 0.47976, 0.45191, 0.44107, 0.06527, 0.09865, 0
0.45013, 0.4416, 0.51129, 0.47664, 0.45502, 0.44745, 0.00403, 0.01739, 0
0.44468, 0.43596, 0.44911, 0.48774, 0.44953, 0.44391, 0.02573, 0.04063, 1
0.46072, 0.45099, 0.42216, 0.48008, 0.45869, 0.45024, 0.06201, 0.0957, 1
0.44715, 0.44056, 0.39482, 0.47715, 0.45313, 0.45504, 0.05061, 0.03672, 1
0.45467, 0.44577, 0.39243, 0.47113, 0.46221, 0.45732, 0.03296, 0.01177, 0
0.45017, 0.44202, 0.38117, 0.48062, 0.45468, 0.44733, 0.00403, 0.03714, 1
0.47416, 0.45752, 0.32884, 0.47175, 0.47707, 0.46331, 0.12309, 0.16103, 0
0.46176, 0.45001, 0.36081, 0.47385, 0.46901, 0.46501, 0.04484, 0.10642, 1
0.43393, 0.418, 0.34889, 0.48551, 0.42092, 0.39985, 0.2736, 0.24501, 0
